score,death,device
2811,hitting a wall and tumbling to my death,iPad
409,missing another window,iPad
3835,hitting a wall and tumbling to my death,iPhone
7308,hitting a wall and tumbling to my death,iPhone
11000,missing another window,iPad
6897,missing another window,iPhone
3531,hitting a wall and tumbling to my death,iPhone
2382,hitting a wall and tumbling to my death,iPhone
2486,hitting a wall and tumbling to my death,iPod touch
919,turning into a fine mist,iPhone
6491,hitting a wall and tumbling to my death,iPod touch
102,hitting a wall and tumbling to my death,iPhone
2396,hitting a wall and tumbling to my death,iPhone
6088,hitting a wall and tumbling to my death,iPad
3859,hitting a wall and tumbling to my death,iPad
784,falling to my death,iPod touch
2092,missing another window,iPhone
7577,missing another window,iPhone
4481,hitting a wall and tumbling to my death,iPod touch
3142,hitting a wall and tumbling to my death,iPhone
1334,falling to my death,iPhone
3459,not quite reaching a billboard,iPhone
4310,hitting a wall and tumbling to my death,iPhone
2064,colliding with some enormous obstacle,iPad
2286,missing another window,iPhone
1461,turning into a fine mist,iPhone
2110,hitting a wall and tumbling to my death,iPhone
28024,missing another window,iPod touch
104,just barely stumbling out of the first hallway,iPad
1869,missing a crane completely,iPod touch
1657,hitting a wall and tumbling to my death,iPad
5041,somehow hitting the edge of a billboard,iPhone
3323,hitting a wall and tumbling to my death,iPhone
1417,hitting a wall and tumbling to my death,iPad
5358,hitting a wall and tumbling to my death,iPhone
4142,hitting a wall and tumbling to my death,iPad
3603,hitting a wall and tumbling to my death,iPhone
4115,hitting a wall and tumbling to my death,iPhone
3323,hitting a wall and tumbling to my death,iPhone
1417,hitting a wall and tumbling to my death,iPad
5358,hitting a wall and tumbling to my death,iPhone
4142,hitting a wall and tumbling to my death,iPad
3323,hitting a wall and tumbling to my death,iPhone
1417,hitting a wall and tumbling to my death,iPad
5358,hitting a wall and tumbling to my death,iPhone
4142,hitting a wall and tumbling to my death,iPad
3603,hitting a wall and tumbling to my death,iPhone
4115,hitting a wall and tumbling to my death,iPhone
5115,missing another window,iPad
11316,missing another window,iPhone
336,knocking a building down,iPad
3246,hitting a wall and tumbling to my death,iPhone
2016,turning into a fine mist,iPhone
8216,hitting a wall and tumbling to my death,iPad
4144,hitting a wall and tumbling to my death,iPhone
3383,colliding with some enormous obstacle,iPhone
2488,hitting a wall and tumbling to my death,iPod touch
3403,hitting a wall and tumbling to my death,iPod touch
2398,hitting a wall and tumbling to my death,iPod touch
5313,hitting a wall and tumbling to my death,iPhone
1502,hitting a wall and tumbling to my death,iPhone
3259,missing another window,iPod touch
3075,hitting a wall and tumbling to my death,iPhone
1873,hitting a wall and tumbling to my death,iPod touch
2510,missing another window,iPhone
7004,hitting a wall and tumbling to my death,iPhone
7910,missing another window,iPhone
2176,hitting a wall and tumbling to my death,iPad
937,hitting a wall and tumbling to my death,iPod touch
10640,hitting a wall and tumbling to my death,iPhone
1018,turning into a fine mist,iPad
491,hitting a wall and tumbling to my death,iPod touch
6046,hitting a wall and tumbling to my death,iPhone
2995,hitting a wall and tumbling to my death,iPod touch
7814,hitting a wall and tumbling to my death,iPad
5024,hitting a wall and tumbling to my death,iPhone
12521,missing another window,iPhone
3941,riding a falling building all the way down,iPhone
5030,missing another window,iPad
3278,hitting a wall and tumbling to my death,iPad
4942,somehow hitting the edge of a crane,iPad
3060,hitting a wall and tumbling to my death,iPhone
5648,missing another window,iPad
2206,hitting a wall and tumbling to my death,iPad
3060,hitting a wall and tumbling to my death,iPhone
2172,hitting a wall and tumbling to my death,iPhone
6081,hitting a wall and tumbling to my death,iPad
4028,hitting a wall and tumbling to my death,iPhone
5819,missing another window,iPad
5793,missing another window,iPad
4763,hitting a wall and tumbling to my death,iPhone
6348,hitting a wall and tumbling to my death,iPhone
5430,landing where a building used to be,iPhone
937,hitting a wall and tumbling to my death,iPod touch
4398,missing another window,iPhone
2049,hitting a wall and tumbling to my death,iPad
4966,hitting a wall and tumbling to my death,iPhone
3873,missing another window,iPod touch
6556,missing another window,iPhone
1543,falling to my death,iPhone
4169,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPod touch
4674,missing a crane completely,iPhone
2908,landing where a building used to be,iPad
6329,knocking a building down,iPad
3857,hitting a wall and tumbling to my death,iPad
14076,missing another window,iPad
12342,hitting a wall and tumbling to my death,iPhone
4612,turning into a fine mist,iPhone
6467,turning into a fine mist,iPhone
4075,hitting a wall and tumbling to my death,iPhone
2988,hitting a wall and tumbling to my death,iPhone
4422,hitting a wall and tumbling to my death,iPad
2227,hitting a wall and tumbling to my death,iPod touch
1950,hitting a wall and tumbling to my death,iPad
3419,hitting a wall and tumbling to my death,iPad
895,missing a crane completely,iPhone
2921,hitting a wall and tumbling to my death,iPod touch
8304,missing another window,iPhone
1115,hitting a wall and tumbling to my death,iPhone
19580,missing another window,iPhone
1352,hitting a wall and tumbling to my death,iPhone
3130,colliding with some enormous obstacle,iPhone
3211,missing another window,iPhone
5948,hitting a wall and tumbling to my death,iPad
979,hitting a wall and tumbling to my death,iPhone
3372,hitting a wall and tumbling to my death,iPhone
2468,missing another window,iPhone
993,hitting a wall and tumbling to my death,iPhone
2452,hitting a wall and tumbling to my death,iPhone
2779,hitting a wall and tumbling to my death,iPhone
2639,landing where a building used to be,iPhone
4918,hitting a wall and tumbling to my death,iPad
4509,colliding with some enormous obstacle,iPhone
3169,hitting a wall and tumbling to my death,iPhone
4304,turning into a fine mist,iPhone
3604,hitting a wall and tumbling to my death,iPod touch
5876,hitting a wall and tumbling to my death,iPad
4529,turning into a fine mist,iPhone
12048,missing another window,iPhone
7238,hitting a wall and tumbling to my death,iPad
8774,somehow hitting the edge of a billboard,iPad
3542,hitting a wall and tumbling to my death,iPod touch
2529,missing another window,iPhone
4332,hitting a wall and tumbling to my death,iPhone
4244,hitting a wall and tumbling to my death,iPhone
5636,missing another window,iPad
11545,missing another window,iPad
3369,hitting a wall and tumbling to my death,iPhone
2555,hitting a wall and tumbling to my death,iPhone
11790,hitting a wall and tumbling to my death,iPhone
2200,hitting a wall and tumbling to my death,iPhone
7372,hitting a wall and tumbling to my death,iPhone
5830,hitting a wall and tumbling to my death,iPad
1505,hitting a wall and tumbling to my death,iPod touch
2441,missing another window,iPod touch
5276,missing another window,iPod touch
3601,hitting a wall and tumbling to my death,iPhone
7883,missing a crane completely,iPhone
1307,falling to my death,iPod touch
6976,missing another window,iPod touch
978,hitting a wall and tumbling to my death,iPhone
8177,hitting a wall and tumbling to my death,iPhone
3304,hitting a wall and tumbling to my death,iPhone
8512,hitting a wall and tumbling to my death,iPhone
2224,hitting a wall and tumbling to my death,iPhone
14088,turning into a fine mist,iPad
2867,missing another window,iPhone
6656,missing another window,iPad
4182,hitting a wall and tumbling to my death,iPhone
7905,hitting a wall and tumbling to my death,iPhone
5644,hitting a wall and tumbling to my death,iPhone
4596,hitting a wall and tumbling to my death,iPhone
2024,colliding with some enormous obstacle,iPod touch
1222,hitting a wall and tumbling to my death,iPhone
1452,hitting a wall and tumbling to my death,iPhone
1577,hitting a wall and tumbling to my death,iPhone
14161,missing another window,iPad
4310,hitting a wall and tumbling to my death,iPhone
3339,hitting a wall and tumbling to my death,iPhone
336,hitting a wall and tumbling to my death,iPhone
2381,colliding with some enormous obstacle,iPhone
5580,hitting a wall and tumbling to my death,iPhone
6897,hitting a wall and tumbling to my death,iPhone
14483,missing another window,iPhone
1849,hitting a wall and tumbling to my death,iPhone
1252,turning into a fine mist,iPod touch
1801,hitting a wall and tumbling to my death,iPod touch
3489,hitting a wall and tumbling to my death,iPod touch
3308,missing another window,iPod touch
4657,hitting a wall and tumbling to my death,iPod touch
2673,landing where a building used to be,iPod touch
1468,turning into a fine mist,iPad
739,hitting a wall and tumbling to my death,iPod touch
2038,hitting a wall and tumbling to my death,iPhone
4002,falling to my death,iPhone
726,hitting a wall and tumbling to my death,iPhone
1841,hitting a wall and tumbling to my death,iPhone
2504,hitting a wall and tumbling to my death,iPhone
7916,hitting a wall and tumbling to my death,iPad
4948,hitting a wall and tumbling to my death,iPhone
3263,missing a crane completely,iPad
40630,missing another window,iPad
1297,landing where a building used to be,iPhone
2105,hitting a wall and tumbling to my death,iPad
18004,missing another window,iPhone
4313,hitting a wall and tumbling to my death,iPod touch
4086,missing another window,iPad
2474,turning into a fine mist,iPhone
2980,not quite reaching a billboard,iPhone
2308,hitting a wall and tumbling to my death,iPhone
5667,missing another window,iPhone
13680,missing another window,iPhone
2776,hitting a wall and tumbling to my death,iPhone
6156,hitting a wall and tumbling to my death,iPod touch
3001,hitting a wall and tumbling to my death,iPhone
6002,falling to my death,iPhone
3180,turning into a fine mist,iPhone
1645,turning into a fine mist,iPhone
8227,missing another window,iPhone
1689,hitting a wall and tumbling to my death,iPod touch
3097,hitting a wall and tumbling to my death,iPad
2195,missing a crane completely,iPhone
1927,turning into a fine mist,iPhone
2398,hitting a wall and tumbling to my death,iPod touch
2283,not quite reaching a billboard,iPhone
1500,hitting a wall and tumbling to my death,iPhone
1990,hitting a wall and tumbling to my death,iPhone
7137,missing another window,iPhone
2385,missing another window,iPhone
1352,hitting a wall and tumbling to my death,iPhone
3588,turning into a fine mist,iPhone
7905,hitting a wall and tumbling to my death,iPhone
4035,hitting a wall and tumbling to my death,iPhone
5070,hitting a wall and tumbling to my death,iPhone
5318,hitting a wall and tumbling to my death,iPod touch
5857,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPod touch
5278,hitting a wall and tumbling to my death,iPhone
1032,hitting a wall and tumbling to my death,iPad
4096,missing another window,iPhone
2012,turning into a fine mist,iPad
3147,hitting a wall and tumbling to my death,iPod touch
4155,hitting a wall and tumbling to my death,iPod touch
8303,turning into a fine mist,iPhone
12166,hitting a wall and tumbling to my death,iPod touch
4444,hitting a wall and tumbling to my death,iPhone
5408,missing another window,iPad
2745,hitting a wall and tumbling to my death,iPhone
2809,knocking a building down,iPhone
3684,hitting a wall and tumbling to my death,iPhone
5696,hitting a wall and tumbling to my death,iPad
177,hitting a wall and tumbling to my death,iPad
6228,hitting a wall and tumbling to my death,iPhone
3968,hitting a wall and tumbling to my death,iPhone
1712,hitting a wall and tumbling to my death,iPad
7268,hitting a wall and tumbling to my death,iPhone
7268,hitting a wall and tumbling to my death,iPhone
4297,hitting a wall and tumbling to my death,iPhone
4257,hitting a wall and tumbling to my death,iPod touch
4187,hitting a wall and tumbling to my death,iPad
14220,missing another window,iPhone
5764,hitting a wall and tumbling to my death,iPad
2688,hitting a wall and tumbling to my death,iPad
15262,colliding with some enormous obstacle,iPhone
5203,hitting a wall and tumbling to my death,iPod touch
2297,missing another window,iPod touch
532,hitting a wall and tumbling to my death,iPhone
1206,hitting a wall and tumbling to my death,iPhone
8548,falling to my death,iPhone
12571,missing another window,iPad
607,colliding with some enormous obstacle,iPhone
7601,landing where a building used to be,iPod touch
899,missing a crane completely,iPod touch
5078,hitting a wall and tumbling to my death,iPhone
1193,falling to my death,iPhone
5198,hitting a wall and tumbling to my death,iPad
2923,hitting a wall and tumbling to my death,iPhone
9124,hitting a wall and tumbling to my death,iPhone
4238,hitting a wall and tumbling to my death,iPhone
2904,hitting a wall and tumbling to my death,iPhone
5254,knocking a building down,iPhone
2252,colliding with some enormous obstacle,iPhone
4036,hitting a wall and tumbling to my death,iPhone
4340,turning into a fine mist,iPhone
3211,hitting a wall and tumbling to my death,iPhone
5190,hitting a wall and tumbling to my death,iPhone
15507,missing another window,iPhone
4500,missing another window,iPhone
1566,missing another window,iPhone
1662,missing another window,iPhone
1486,hitting a wall and tumbling to my death,iPhone
2569,not quite reaching a billboard,iPhone
1924,turning into a fine mist,iPad
10163,falling to my death,iPod touch
1439,colliding with some enormous obstacle,iPhone
2623,missing a crane completely,iPod touch
6318,missing another window,iPhone
366,hitting a wall and tumbling to my death,iPod touch
1379,missing another window,iPod touch
6320,hitting a wall and tumbling to my death,iPod touch
16933,colliding with some enormous obstacle,iPod touch
9195,hitting a wall and tumbling to my death,iPhone
5880,hitting a wall and tumbling to my death,iPhone
4558,hitting a wall and tumbling to my death,iPhone
8662,hitting a wall and tumbling to my death,iPhone
13814,hitting a wall and tumbling to my death,iPhone
3052,falling to my death,iPhone
17196,hitting a wall and tumbling to my death,iPhone
1408,missing another window,iPod touch
7660,missing another window,iPhone
7020,missing another window,iPhone
4334,hitting a wall and tumbling to my death,iPhone
9772,hitting a wall and tumbling to my death,iPhone
6385,hitting a wall and tumbling to my death,iPhone
1389,falling to my death,iPhone
6422,missing another window,iPhone
5694,hitting a wall and tumbling to my death,iPhone
11769,missing another window,iPhone
3770,not quite reaching a billboard,iPod touch
3916,missing another window,iPhone
1446,turning into a fine mist,iPhone
5225,hitting a wall and tumbling to my death,iPhone
9264,missing another window,iPhone
2380,hitting a wall and tumbling to my death,iPhone
1931,hitting a wall and tumbling to my death,iPhone
5036,hitting a wall and tumbling to my death,iPhone
7020,hitting a wall and tumbling to my death,iPhone
2262,missing another window,iPhone
1790,hitting a wall and tumbling to my death,iPad
3140,hitting a wall and tumbling to my death,iPhone
6435,hitting a wall and tumbling to my death,iPhone
1524,colliding with some enormous obstacle,iPod touch
302,hitting a wall and tumbling to my death,iPod touch
2403,missing another window,iPhone
5168,knocking a building down,iPhone
3666,landing where a building used to be,iPhone
7025,missing another window,iPad
3259,hitting a wall and tumbling to my death,iPhone
2051,hitting a wall and tumbling to my death,iPhone
1944,hitting a wall and tumbling to my death,iPhone
1273,hitting a wall and tumbling to my death,iPhone
4665,missing another window,iPhone
3193,hitting a wall and tumbling to my death,iPod touch
5032,missing another window,iPad
2054,hitting a wall and tumbling to my death,iPhone
2129,missing another window,iPhone
3947,missing another window,iPhone
3163,missing another window,iPhone
10499,hitting a wall and tumbling to my death,iPod touch
6744,hitting a wall and tumbling to my death,iPod touch
2272,missing another window,iPod touch
5425,hitting a wall and tumbling to my death,iPad
8265,missing another window,iPhone
3316,hitting a wall and tumbling to my death,iPhone
8203,hitting a wall and tumbling to my death,iPod touch
5340,knocking a building down,iPhone
3238,missing another window,iPhone
10801,missing another window,iPhone
7673,hitting a wall and tumbling to my death,iPhone
11658,colliding with some enormous obstacle,iPad
3004,hitting a wall and tumbling to my death,iPhone
3422,turning into a fine mist,iPad
1156,turning into a fine mist,iPod touch
2560,missing another window,iPhone
2286,hitting a wall and tumbling to my death,iPod touch
2736,hitting a wall and tumbling to my death,iPod touch
3748,missing another window,iPod touch
7531,missing another window,iPod touch
14345,missing another window,iPhone
4113,hitting a wall and tumbling to my death,iPhone
21769,missing another window,iPhone
3035,missing another window,iPod touch
2615,turning into a fine mist,iPod touch
5020,hitting a wall and tumbling to my death,iPhone
2585,not quite reaching a billboard,iPod touch
5308,hitting a wall and tumbling to my death,iPhone
8859,missing another window,iPad
1916,hitting a wall and tumbling to my death,iPod touch
1307,missing another window,iPod touch
8656,hitting a wall and tumbling to my death,iPhone
3545,hitting a wall and tumbling to my death,iPod touch
9137,missing another window,iPhone
5937,hitting a wall and tumbling to my death,iPod touch
3560,hitting a wall and tumbling to my death,iPhone
5883,hitting a wall and tumbling to my death,iPhone
32539,hitting a wall and tumbling to my death,iPhone
1916,hitting a wall and tumbling to my death,iPhone
6732,hitting a wall and tumbling to my death,iPhone
2407,turning into a fine mist,iPhone
3811,hitting a wall and tumbling to my death,iPhone
15388,missing another window,iPod touch
2108,missing another window,iPhone
3406,hitting a wall and tumbling to my death,iPhone
6476,hitting a wall and tumbling to my death,iPhone
3203,somehow hitting the edge of a billboard,iPod touch
11766,missing another window,iPhone
616,hitting a wall and tumbling to my death,iPod touch
1323,hitting a wall and tumbling to my death,iPod touch
3049,missing another window,iPad
4481,missing another window,iPod touch
1255,missing a crane completely,iPhone
3523,hitting a wall and tumbling to my death,iPhone
3249,hitting a wall and tumbling to my death,iPhone
2627,missing another window,iPad
642,colliding with some enormous obstacle,iPhone
3950,missing another window,iPhone
2806,hitting a wall and tumbling to my death,iPod touch
3740,hitting a wall and tumbling to my death,iPhone
1496,hitting a wall and tumbling to my death,iPad
4043,hitting a wall and tumbling to my death,iPad
1761,hitting a wall and tumbling to my death,iPhone
4113,hitting a wall and tumbling to my death,iPhone
2088,hitting a wall and tumbling to my death,iPod touch
2025,missing a crane completely,iPhone
2630,missing another window,iPhone
10349,falling to my death,iPad
7974,missing another window,iPhone
5518,hitting a wall and tumbling to my death,iPad
992,missing another window,iPod touch
1984,hitting a wall and tumbling to my death,iPhone
5054,hitting a wall and tumbling to my death,iPad
512,hitting a wall and tumbling to my death,iPad
921,missing another window,iPad
2387,hitting a wall and tumbling to my death,iPhone
5025,hitting a wall and tumbling to my death,iPhone
4172,hitting a wall and tumbling to my death,iPhone
16816,missing another window,iPhone
8079,turning into a fine mist,iPad
1842,turning into a fine mist,iPod touch
2809,hitting a wall and tumbling to my death,iPod touch
733,turning into a fine mist,iPhone
1048,hitting a wall and tumbling to my death,iPod touch
4611,missing another window,iPad
5508,missing another window,iPod touch
104,just barely stumbling out of the first hallway,iPod touch
5041,missing another window,iPhone
2089,hitting a wall and tumbling to my death,iPhone
5449,hitting a wall and tumbling to my death,iPhone
792,hitting a wall and tumbling to my death,iPhone
500,knocking a building down,iPhone
5545,hitting a wall and tumbling to my death,iPhone
2876,missing another window,iPhone
8787,hitting a wall and tumbling to my death,iPhone
4598,hitting a wall and tumbling to my death,iPod touch
2225,hitting a wall and tumbling to my death,iPad
1405,colliding with some enormous obstacle,iPad
4462,hitting a wall and tumbling to my death,iPad
6124,hitting a wall and tumbling to my death,iPhone
1302,hitting a wall and tumbling to my death,iPod touch
2388,knocking a building down,iPod touch
2249,hitting a wall and tumbling to my death,iPhone
6434,hitting a wall and tumbling to my death,iPhone
1832,hitting a wall and tumbling to my death,iPad
382,knocking a building down,iPad
13644,hitting a wall and tumbling to my death,iPad
3440,hitting a wall and tumbling to my death,iPod touch
11874,hitting a wall and tumbling to my death,iPhone
4083,falling to my death,iPod touch
1619,missing another window,iPhone
3972,missing another window,iPod touch
3684,missing a crane completely,iPhone
8560,hitting a wall and tumbling to my death,iPhone
4459,hitting a wall and tumbling to my death,iPhone
4486,missing another window,iPhone
8923,missing another window,iPhone
8242,colliding with some enormous obstacle,iPhone
3146,missing a crane completely,iPhone
11024,somehow hitting the edge of a billboard,iPhone
1736,hitting a wall and tumbling to my death,iPhone
2731,hitting a wall and tumbling to my death,iPhone
4758,missing another window,iPhone
3296,hitting a wall and tumbling to my death,iPhone
3090,hitting a wall and tumbling to my death,iPhone
10929,somehow hitting the edge of a billboard,iPod touch
5793,hitting a wall and tumbling to my death,iPhone
4817,missing another window,iPad
6972,missing another window,iPhone
3582,hitting a wall and tumbling to my death,iPhone
5920,missing another window,iPod touch
1478,hitting a wall and tumbling to my death,iPhone
9605,colliding with some enormous obstacle,iPod touch
7760,missing another window,iPhone
468,knocking a building down,iPhone
3444,hitting a wall and tumbling to my death,iPhone
10888,hitting a wall and tumbling to my death,iPod touch
9940,missing another window,iPhone
5166,hitting a wall and tumbling to my death,iPod touch
6075,turning into a fine mist,iPhone
4865,hitting a wall and tumbling to my death,iPhone
5780,hitting a wall and tumbling to my death,iPhone
2449,hitting a wall and tumbling to my death,iPad
2523,hitting a wall and tumbling to my death,iPod touch
10785,hitting a wall and tumbling to my death,iPad
1075,hitting a wall and tumbling to my death,iPhone
11438,hitting a wall and tumbling to my death,iPhone
3112,missing another window,iPhone
1996,missing another window,iPhone
6126,missing another window,iPod touch
12411,hitting a wall and tumbling to my death,iPod touch
3580,missing another window,iPad
1798,hitting a wall and tumbling to my death,iPad
3204,hitting a wall and tumbling to my death,iPad
8107,hitting a wall and tumbling to my death,iPhone
7380,hitting a wall and tumbling to my death,iPod touch
6300,hitting a wall and tumbling to my death,iPod touch
4410,missing a crane completely,iPad
4144,missing another window,iPod touch
2112,hitting a wall and tumbling to my death,iPhone
4577,missing another window,iPhone
1181,turning into a fine mist,iPhone
1412,hitting a wall and tumbling to my death,iPhone
6139,hitting a wall and tumbling to my death,iPhone
2529,hitting a wall and tumbling to my death,iPod touch
7561,hitting a wall and tumbling to my death,iPhone
6784,hitting a wall and tumbling to my death,iPhone
4305,hitting a wall and tumbling to my death,iPhone
2361,missing another window,iPhone
8308,hitting a wall and tumbling to my death,iPhone
9763,hitting a wall and tumbling to my death,iPad
4913,hitting a wall and tumbling to my death,iPod touch
104,just barely stumbling out of the first hallway,iPod touch
2990,missing another window,iPhone
4990,hitting a wall and tumbling to my death,iPhone
5078,hitting a wall and tumbling to my death,iPhone
3025,missing another window,iPod touch
3238,missing another window,iPod touch
5712,hitting a wall and tumbling to my death,iPhone
2023,turning into a fine mist,iPhone
2051,missing another window,iPhone
9460,hitting a wall and tumbling to my death,iPhone
13547,somehow hitting the edge of a billboard,iPhone
5100,hitting a wall and tumbling to my death,iPhone
4080,hitting a wall and tumbling to my death,iPhone
4318,colliding with some enormous obstacle,iPhone
3635,hitting a wall and tumbling to my death,iPhone
4553,hitting a wall and tumbling to my death,iPad
1052,hitting a wall and tumbling to my death,iPod touch
13246,missing another window,iPhone
22685,landing where a building used to be,iPhone
4569,hitting a wall and tumbling to my death,iPhone
2311,turning into a fine mist,iPod touch
1861,turning into a fine mist,iPhone
5779,hitting a wall and tumbling to my death,iPhone
1806,turning into a fine mist,iPod touch
4961,missing another window,iPad
6616,hitting a wall and tumbling to my death,iPhone
3256,hitting a wall and tumbling to my death,iPhone
2153,hitting a wall and tumbling to my death,iPad
5932,hitting a wall and tumbling to my death,iPhone
5525,turning into a fine mist,iPad
5862,missing another window,iPod touch
9593,missing another window,iPhone
2468,missing another window,iPhone
4134,hitting a wall and tumbling to my death,iPhone
5236,hitting a wall and tumbling to my death,iPhone
2144,hitting a wall and tumbling to my death,iPod touch
4613,turning into a fine mist,iPhone
6248,hitting a wall and tumbling to my death,iPhone
2120,hitting a wall and tumbling to my death,iPod touch
4226,not quite reaching a billboard,iPod touch
7273,hitting a wall and tumbling to my death,iPhone
179,hitting a wall and tumbling to my death,iPhone
2642,hitting a wall and tumbling to my death,iPhone
2070,missing another window,iPhone
5046,hitting a wall and tumbling to my death,iPad
444,not quite reaching a billboard,iPhone
1787,hitting a wall and tumbling to my death,iPhone
10923,missing another window,iPhone
12358,missing another window,iPhone
30430,hitting a wall and tumbling to my death,iPhone
5377,somehow hitting the edge of a crane,iPhone
11841,missing another window,iPhone
2305,hitting a wall and tumbling to my death,iPod touch
4576,hitting a wall and tumbling to my death,iPhone
36332,hitting a wall and tumbling to my death,iPhone
3179,hitting a wall and tumbling to my death,iPhone
3369,hitting a wall and tumbling to my death,iPhone
8734,missing another window,iPod touch
3419,hitting a wall and tumbling to my death,iPhone
3283,missing another window,iPhone
1727,riding a falling building all the way down,iPod touch
7752,hitting a wall and tumbling to my death,iPhone
1910,missing another window,iPod touch
4493,turning into a fine mist,iPad
5563,hitting a wall and tumbling to my death,iPhone
2528,hitting a wall and tumbling to my death,iPod touch
3950,turning into a fine mist,iPhone
646,hitting a wall and tumbling to my death,iPod touch
1028,knocking a building down,iPod touch
1035,colliding with some enormous obstacle,iPhone
10736,somehow hitting the edge of a crane,iPhone
4113,hitting a wall and tumbling to my death,iPod touch
5427,hitting a wall and tumbling to my death,iPhone
22001,hitting a wall and tumbling to my death,iPhone
5000,hitting a wall and tumbling to my death,iPhone
2660,hitting a wall and tumbling to my death,iPhone
381,missing a crane completely,iPhone
4561,hitting a wall and tumbling to my death,iPhone
5401,hitting a wall and tumbling to my death,iPod touch
3304,hitting a wall and tumbling to my death,iPhone